Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,COY.AX
effectOfAccountingCharges,,,,,COY.AX
incomeBeforeTax,-1045713,-1212613,-875980,-627966,COY.AX
minorityInterest,,,,,COY.AX
netIncome,-1045713,-1212613,-875980,-627966,COY.AX
sellingGeneralAdministrative,717139,794504,547966,456218,COY.AX
grossProfit,0,0,32057,124433,COY.AX
ebit,-771219,-872392,-565092,-357056,COY.AX
operatingIncome,-771219,-872392,-565092,-357056,COY.AX
otherOperatingExpenses,6900,37254,43932,14247,COY.AX
interestExpense,-182468,-185053,-167500,-155858,COY.AX
extraordinaryItems,,,,,COY.AX
nonRecurring,,,,,COY.AX
otherItems,,,,,COY.AX
incomeTaxExpense,0,0,0,0,COY.AX
totalRevenue,0,0,32057,124433,COY.AX
totalOperatingExpenses,771219,872392,597149,481489,COY.AX
costOfRevenue,0,0,0,0,COY.AX
totalOtherIncomeExpenseNet,-274494,-340221,-310888,-270910,COY.AX
discontinuedOperations,,,,,COY.AX
netIncomeFromContinuingOps,-1045713,-1212613,-875980,-627966,COY.AX
netIncomeApplicableToCommonShares,-1045713,-1212613,-875980,-627966,COY.AX
