Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,1116704000.0,1195699000.0,1014655000.0,806051000.0,CPU.AX
totalLiab,2972288000.0,3399432000.0,3110884000.0,2554799000.0,CPU.AX
totalStockholderEquity,2277659000.0,1588692000.0,1571876000.0,1307089000.0,CPU.AX
minorityInterest,1938000.0,1627000.0,2195000.0,26308000.0,CPU.AX
deferredLongTermLiab,2222000.0,1088000.0,9251000.0,,CPU.AX
otherCurrentLiab,380166000.0,441318000.0,375597000.0,396351000.0,CPU.AX
totalAssets,5251885000.0,4989751000.0,4684955000.0,3888196000.0,CPU.AX
commonStock,519299000.0,,,,CPU.AX
otherCurrentAssets,420318000.0,332457000.0,354094000.0,255989000.0,CPU.AX
retainedEarnings,1765412000.0,1761188000.0,1706427000.0,1455187000.0,CPU.AX
otherLiab,394208000.0,473506000.0,448039000.0,409346000.0,CPU.AX
goodWill,1912347000.0,1857127000.0,1768025000.0,1521575000.0,CPU.AX
treasuryStock,-7052000.0,-172496000.0,-134551000.0,-148098000.0,CPU.AX
otherAssets,151545000.0,164425000.0,151069000.0,145806000.0,CPU.AX
cash,816810000.0,597313000.0,561346000.0,500888000.0,CPU.AX
totalCurrentLiabilities,995668000.0,1024606000.0,701061000.0,1091609000.0,CPU.AX
deferredLongTermAssetCharges,149129000.0,161153000.0,139179000.0,145654000.0,CPU.AX
shortLongTermDebt,319465000.0,278073000.0,61068000.0,423676000.0,CPU.AX
otherStockholderEquity,-7052000.0,-70938000.0,-55091000.0,-68638000.0,CPU.AX
propertyPlantEquipment,309272000.0,290126000.0,136612000.0,115249000.0,CPU.AX
totalCurrentAssets,1718710000.0,1431991000.0,1501068000.0,1241916000.0,CPU.AX
longTermInvestments,43307000.0,50383000.0,113526000.0,57599000.0,CPU.AX
netTangibleAssets,-751392000.0,-1464134000.0,-1210804000.0,-1020537000.0,CPU.AX
netReceivables,430478000.0,444444000.0,510251000.0,431209000.0,CPU.AX
longTermDebt,1388924000.0,1742410000.0,1955980000.0,1051842000.0,CPU.AX
inventory,5452000.0,5113000.0,4654000.0,3844000.0,CPU.AX
accountsPayable,19889000.0,14682000.0,17068000.0,24487000.0,CPU.AX
shortTermInvestments,,,6335000.0,10900000.0,CPU.AX
