Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,CPU.AX
effectOfAccountingCharges,,,,,CPU.AX
incomeBeforeTax,270132000,324363000,528352000,389896000,CPU.AX
minorityInterest,1938000,1627000,2195000,26308000,CPU.AX
netIncome,188974000,232657000,415732000,300064000,CPU.AX
sellingGeneralAdministrative,38655000,36535000,33575000,27951000,CPU.AX
grossProfit,312372000,423079000,515427000,468449000,CPU.AX
ebit,274710000,387323000,483556000,443961000,CPU.AX
operatingIncome,274710000,387323000,483556000,443961000,CPU.AX
otherOperatingExpenses,-993000,-779000,-1704000,-3463000,CPU.AX
interestExpense,-54867000,-66325000,-66689000,-62117000,CPU.AX
extraordinaryItems,,,,,CPU.AX
nonRecurring,,,,,CPU.AX
otherItems,,,,,CPU.AX
incomeTaxExpense,80933000,91632000,109397000,81567000,CPU.AX
totalRevenue,2283161000,2277281000,2354833000,2289889000,CPU.AX
totalOperatingExpenses,2008451000,1889958000,1871277000,1845928000,CPU.AX
costOfRevenue,1970789000,1854202000,1839406000,1821440000,CPU.AX
totalOtherIncomeExpenseNet,-4578000,-62960000,44796000,-54065000,CPU.AX
discontinuedOperations,,,,,CPU.AX
netIncomeFromContinuingOps,189199000,232731000,418955000,308329000,CPU.AX
netIncomeApplicableToCommonShares,188974000,232657000,415732000,300064000,CPU.AX
