Breakdown,Value,ticker
zip,2000,CUP.AX
sector,Industrials,CUP.AX
longBusinessSummary,"CountPlus Limited, together with its subsidiaries, provides accounting, business advisory, and financial planning services in Australia. The company operates through Accounting, Financial Planning, Financial Services, and Other segments. It offers tax, assurance, audit, and corporate advisory services; financial planning; loans commission, and leasing commission services; and information technology, legal, conference, and insurance services. The company was founded in 2006 and is based in Sydney, Australia.",CUP.AX
city,Sydney,CUP.AX
phone,61 2 8218 8778,CUP.AX
state,NSW,CUP.AX
compensationAsOfEpochDate,1640908800,CUP.AX
country,Australia,CUP.AX
website,https://www.countplus.com.au,CUP.AX
maxAge,86400,CUP.AX
address1,1 Chifley Square,CUP.AX
industry,Specialty Business Services,CUP.AX
address2,Level 8,CUP.AX
