Breakdown,Value,ticker
zip,6153,CUS.AX
sector,Basic Materials,CUS.AX
longBusinessSummary,"Copper Search Limited engages in the exploration of minerals exploration tenements situated in South Australia. It primarily develops copper-gold deposits within the Gawler Craton of South Australia. The company was incorporated in 2021 and is based in Applecross, Australia.",CUS.AX
city,Applecross,CUS.AX
phone,61 8 6159 9100,CUS.AX
state,WA,CUS.AX
compensationAsOfEpochDate,1640908800,CUS.AX
country,Australia,CUS.AX
website,https://www.coppersearch.com.au,CUS.AX
maxAge,86400,CUS.AX
address1,11 Moreau Mews,CUS.AX
industry,Other Precious Metals & Mining,CUS.AX
