Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,9830140,9475038,5165519,3488629,CUV.AX
totalStockholderEquity,98737434,72066807,57179853,39415988,CUV.AX
otherCurrentLiab,2427578,3341726,2133067,2071353,CUV.AX
totalAssets,108567574,81541845,62345372,42904617,CUV.AX
commonStock,151849375,151849375,151314175,148614908,CUV.AX
retainedEarnings,-58129768,-81632943,-95486738,-112680836,CUV.AX
otherLiab,77951,105727,34210,17808,CUV.AX
goodWill,185030,185030,185030,185030,CUV.AX
treasuryStock,5017827,1850375,1352416,3481916,CUV.AX
otherAssets,2931188,3811500,301112,281779,CUV.AX
cash,82690982,66746521,54268758,36198451,CUV.AX
totalCurrentLiabilities,8706953,8262087,4960042,3470821,CUV.AX
deferredLongTermAssetCharges,2931188,3811500,301112,281779,CUV.AX
otherStockholderEquity,5017827,1850375,1352416,3481916,CUV.AX
propertyPlantEquipment,2603143,2389378,706656,168739,CUV.AX
totalCurrentAssets,102848213,75155937,61152574,42269069,CUV.AX
netTangibleAssets,98552404,71881777,56994823,39230958,CUV.AX
netReceivables,16088527,6612684,4156216,5090271,CUV.AX
inventory,3186670,1287914,2136084,641285,CUV.AX
accountsPayable,2323560,1429855,1500214,428562,CUV.AX
