Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
investments,-196000,-196000,-196000,-196000,CVN.AX
changeToLiabilities,363000,-829000,874000,-439000,CVN.AX
totalCashflowsFromInvestingActivities,-9473000,-34975000,-35470000,-6511000,CVN.AX
netBorrowings,-217000,-209000,-209000,-209000,CVN.AX
totalCashFromFinancingActivities,378000,78526000,48069000,19021000,CVN.AX
changeToOperatingActivities,43000,-206000,175000,-171000,CVN.AX
issuanceOfStock,595000,78735000,48069000,19021000,CVN.AX
netIncome,17136000,-4137000,-8021000,1425000,CVN.AX
changeInCash,-15196000,39732000,10294000,10556000,CVN.AX
effectOfExchangeRate,-1244000,848000,2238000,1748000,CVN.AX
totalCashFromOperatingActivities,-4857000,-4667000,-4543000,-3702000,CVN.AX
depreciation,256000,-942000,34000,51000,CVN.AX
otherCashflowsFromInvestingActivities,286000,2269000,2703000,2703000,CVN.AX
changeToAccountReceivables,-71000,27000,16000,76000,CVN.AX
changeToNetincome,-22584000,1420000,2379000,-4644000,CVN.AX
capitalExpenditures,-9533000,-37244000,-38173000,-6511000,CVN.AX
