Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,CWN.AX
effectOfAccountingCharges,,,,,CWN.AX
incomeBeforeTax,-308600000,153200000,579300000,744200000,CWN.AX
minorityInterest,,,,,CWN.AX
netIncome,-261600000,79500000,401800000,558900000,CWN.AX
sellingGeneralAdministrative,,,,,CWN.AX
grossProfit,30700000,642800000,649200000,597900000,CWN.AX
ebit,-342400000,217500000,602400000,534400000,CWN.AX
operatingIncome,-342400000,217500000,602400000,534400000,CWN.AX
otherOperatingExpenses,373100000,425300000,46800000,63500000,CWN.AX
interestExpense,-69100000,-10200000,-36600000,-76100000,CWN.AX
extraordinaryItems,,,,,CWN.AX
nonRecurring,,,,,CWN.AX
otherItems,,,,,CWN.AX
incomeTaxExpense,-47300000,71300000,176400000,171000000,CWN.AX
totalRevenue,1536800000,2237200000,2929200000,3083100000,CWN.AX
totalOperatingExpenses,1879200000,2019700000,2326800000,2548700000,CWN.AX
costOfRevenue,1506100000,1594400000,2280000000,2485200000,CWN.AX
totalOtherIncomeExpenseNet,33800000,-64300000,-23100000,209800000,CWN.AX
discontinuedOperations,,,,,CWN.AX
netIncomeFromContinuingOps,-261300000,81900000,402900000,573200000,CWN.AX
netIncomeApplicableToCommonShares,-261600000,79500000,401800000,558900000,CWN.AX
