Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
totalLiab,1374866.0,628581.0,198245.0,265421.0,CYM.AX
totalStockholderEquity,12071127.0,6377179.0,2728782.0,5916405.0,CYM.AX
otherCurrentLiab,350000.0,,37230.0,37230.0,CYM.AX
totalAssets,13445993.0,7005760.0,2927027.0,6181826.0,CYM.AX
commonStock,164980087.0,159599915.0,153680857.0,150979294.0,CYM.AX
otherCurrentAssets,24750.0,24750.0,44159.0,57230.0,CYM.AX
retainedEarnings,-156216638.0,-155219272.0,-152865070.0,-146972699.0,CYM.AX
otherLiab,300000.0,,,59983.0,CYM.AX
treasuryStock,3307678.0,1996536.0,1912995.0,1909810.0,CYM.AX
cash,5373820.0,3466183.0,1910897.0,739618.0,CYM.AX
totalCurrentLiabilities,1056253.0,565728.0,198245.0,205438.0,CYM.AX
otherStockholderEquity,3307678.0,1996536.0,1912995.0,1909810.0,CYM.AX
propertyPlantEquipment,7164757.0,3265104.0,946030.0,5158046.0,CYM.AX
totalCurrentAssets,6281236.0,3740656.0,1980997.0,850964.0,CYM.AX
netTangibleAssets,12071127.0,6377179.0,2728782.0,5916405.0,CYM.AX
shortTermInvestments,100000.0,100000.0,,,CYM.AX
netReceivables,753884.0,87266.0,9070.0,8446.0,CYM.AX
accountsPayable,466926.0,413120.0,85651.0,164270.0,CYM.AX
otherAssets,,,,172816.0,CYM.AX
