Breakdown,Value,ticker
zip,6163,DC2.AX
sector,Technology,DC2.AX
fullTimeEmployees,15,DC2.AX
longBusinessSummary,"DC Two Limited operates in the data center, cloud, and software business in Australia. The company offers data center and cloud hosted, data center hosting and colocation, data center and cloud automation software, and modular data center and hosting solutions; and disaster recovery and virtual desktop solutions. It serves mining, exploration, energy, resources, telecommunications, and financial services companies; local governments; schools and law firms; and health organizations. The company was incorporated in 2012 and is based in Bibra Lake, Australia.",DC2.AX
city,Bibra Lake,DC2.AX
phone,61 1300 331 888,DC2.AX
state,WA,DC2.AX
country,Australia,DC2.AX
website,https://dctwo.com.au,DC2.AX
maxAge,86400,DC2.AX
address1,27 Aspiration Circuit,DC2.AX
industry,Information Technology Services,DC2.AX
