Breakdown,Value,ticker
zip,3000,DDD.AX
sector,Basic Materials,DDD.AX
longBusinessSummary,"3D Resources Limited engages in the exploration of mineral properties. It explores for gold, copper, lead, zinc, and nickel properties. The company holds interests in projects located in the Proterozoic of the East Kimberley; and the Archaean Cosmo Newbery area in the Eastern Goldfields, Western Australia. The company was incorporated in 2006 and is based in Melbourne, Australia.",DDD.AX
city,Melbourne,DDD.AX
phone,61 3 8611 5320,DDD.AX
state,VIC,DDD.AX
compensationAsOfEpochDate,1640908800,DDD.AX
country,Australia,DDD.AX
website,https://www.3dresources.com.au,DDD.AX
maxAge,86400,DDD.AX
address1,91 William Street,DDD.AX
fax,61 3 8596 9967,DDD.AX
industry,Gold,DDD.AX
address2,Level 4,DDD.AX
