Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
investments,94587.0,94587.0,583085.0,-28971.0,DDH.AX
changeToLiabilities,-18456624.0,-667492.0,4807319.0,3699605.0,DDH.AX
totalCashflowsFromInvestingActivities,-38915223.0,-27035031.0,-26774683.0,-9481627.0,DDH.AX
netBorrowings,-64191331.0,-6046022.0,-549412.0,-524529.0,DDH.AX
totalCashFromFinancingActivities,-32682113.0,-8943737.0,-249412.0,-524529.0,DDH.AX
changeToOperatingActivities,2882017.0,1085576.0,2260173.0,994394.0,DDH.AX
issuanceOfStock,41000000.0,41000000.0,300000.0,300000.0,DDH.AX
netIncome,57185783.0,24640373.0,20761912.0,10950150.0,DDH.AX
changeInCash,-22990110.0,20668808.0,8219134.0,19288.0,DDH.AX
totalCashFromOperatingActivities,48607226.0,56647576.0,35243229.0,10025444.0,DDH.AX
depreciation,23676084.0,23874802.0,14517753.0,8160434.0,DDH.AX
changeToInventory,-2477280.0,-1080797.0,-2205675.0,-5182519.0,DDH.AX
changeToAccountReceivables,-13807706.0,5915990.0,-9748389.0,-9279489.0,DDH.AX
otherCashflowsFromFinancingActivities,-9490782.0,-9490782.0,-9490782.0,-9490782.0,DDH.AX
changeToNetincome,9620356.0,-112576.0,4155595.0,1910110.0,DDH.AX
capitalExpenditures,-39251061.0,-28110774.0,-24327303.0,-7884096.0,DDH.AX
dividendsPaid,,-2897715.0,-2897715.0,-2897715.0,DDH.AX
