Breakdown,Value,ticker
zip,2009,DHG.AX
sector,Communication Services,DHG.AX
fullTimeEmployees,723,DHG.AX
compensationRisk,6,DHG.AX
auditRisk,5,DHG.AX
longBusinessSummary,"Domain Holdings Australia Limited engages in the real estate media and technology services business in Australia. The company operates through Core Digital, Consumer Solutions, and Print segments. It offers residential, commercial, and rural property marketing services through its listings portals on desktop and mobile, as well as through social media and print magazines. The company also provides media and lead-generation solutions for advertisers looking to promote their products and services to consumers; and creates property market content to engage consumers and support audience growth. In addition, it offers data and technology services to real estate agencies through customer relationship management software, property data subscriptions and research, and property inspection management tools. Further, the company publishes real estate newspapers and magazines; and provides property lifecycle services, including home loan brokerage, insurance, and residential utilities product comparison and connections; and trade services, as well as information services for buyers, investors, sellers, renters, and agents. It serves residential and commercial real estate agencies and professionals, property developers, financial services companies, retailers, utilities companies, media, government, and consumers. The company was incorporated in 2000 and is based in Pyrmont, Australia. Domain Holdings Australia Limited is a subsidiary of Nine Entertainment Co. Holdings Limited.",DHG.AX
city,Pyrmont,DHG.AX
phone,61 2 9254 3222,DHG.AX
state,NSW,DHG.AX
shareHolderRightsRisk,6,DHG.AX
compensationAsOfEpochDate,1640908800,DHG.AX
governanceEpochDate,1643673600,DHG.AX
boardRisk,8,DHG.AX
country,Australia,DHG.AX
website,https://www.domain.com.au/group,DHG.AX
maxAge,86400,DHG.AX
overallRisk,7,DHG.AX
address1,100 Harris Street,DHG.AX
fax,61 2 9282 2833,DHG.AX
industry,Internet Content & Information,DHG.AX
address2,Level 5,DHG.AX
