Breakdown,Value,ticker
zip,3019,DLC.AX
sector,Consumer Cyclical,DLC.AX
fullTimeEmployees,22,DLC.AX
longBusinessSummary,"Delecta Limited, through its subsidiaries, engages in the wholesale distribution of adult products in Australia and New Zealand. It also owns interests in the Highline Cobalt-Copper Project, which comprises 5 patented mining claims located in the Goodsprings mining district in Southern Nevada. The company was formerly known as AdultShop.com Limited and changed its name to Delecta Limited in November 2010. Delecta Limited was incorporated in 1985 and is based in Braybrook, Australia.",DLC.AX
city,Braybrook,DLC.AX
phone,61 3 9695 5858,DLC.AX
state,VIC,DLC.AX
compensationAsOfEpochDate,1640908800,DLC.AX
country,Australia,DLC.AX
website,https://www.delecta.com.au,DLC.AX
maxAge,86400,DLC.AX
address1,Building 41,DLC.AX
fax,61 3 9686 0644,DLC.AX
industry,Specialty Retail,DLC.AX
address2,9-45 Ashley Street,DLC.AX
