Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,259470,11765,0,0,DM1.AX
totalCashflowsFromInvestingActivities,-1695447,-33500,-33500,-33500,DM1.AX
totalCashFromFinancingActivities,5587200,250000,250000,12000,DM1.AX
issuanceOfStock,6000000,250000,250000,12000,DM1.AX
netIncome,-1200451,-44263,-145370,-6500,DM1.AX
changeInCash,3413187,182936,104743,7422,DM1.AX
totalCashFromOperatingActivities,-478566,-33564,-145257,-4578,DM1.AX
depreciation,8996,435,435,435,DM1.AX
changeToAccountReceivables,-106300,-1066,-1066,-1066,DM1.AX
otherCashflowsFromFinancingActivities,-412800,-412800,-412800,-412800,DM1.AX
changeToNetincome,559719,-435,113,1922,DM1.AX
capitalExpenditures,-1695447,-33500,-33500,-33500,DM1.AX
