Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,-244464,-272727,428563,154560,DVL.AX
totalCashflowsFromInvestingActivities,-85413,-788802,-1003162,-2060083,DVL.AX
netBorrowings,14188,1246337,-40724,-40724,DVL.AX
totalCashFromFinancingActivities,3466697,1887225,1885767,14706,DVL.AX
changeToOperatingActivities,5168,-34337,352843,-186513,DVL.AX
issuanceOfStock,3702840,746760,2088616,14706,DVL.AX
netIncome,-2028267,-7593079,-4020751,-3727073,DVL.AX
changeInCash,1110887,-1081131,-1200438,-4642745,DVL.AX
totalCashFromOperatingActivities,-2270397,-2179554,-2083043,-2597368,DVL.AX
depreciation,210203,261541,232236,159460,DVL.AX
changeToInventory,56442,-374619,16414,-18376,DVL.AX
changeToAccountReceivables,-307726,347464,462012,325266,DVL.AX
otherCashflowsFromFinancingActivities,-250331,-105872,-162125,-162125,DVL.AX
changeToNetincome,38247,4708097,-287978,116487,DVL.AX
capitalExpenditures,-51829,-4073,-34023,-49980,DVL.AX
