Breakdown,Value,ticker
zip,2000,DVR.AX
sector,Financial Services,DVR.AX
longBusinessSummary,"Easton Investments Limited is a publicly owned investment manager. It invests in funds which invest in the public equity markets across the globe with a focus on Australia. It also invests in property securities and hedge funds. It was formerly known as Equities and Freeholds Limited. Easton Investments Limited was formed on August 2, 2005 and is based in Sydney, Australia.",DVR.AX
city,Sydney,DVR.AX
phone,61 2 9221 6666,DVR.AX
state,NSW,DVR.AX
compensationAsOfEpochDate,1640908800,DVR.AX
country,Australia,DVR.AX
website,https://www.eastoninvestments.com.au,DVR.AX
maxAge,86400,DVR.AX
address1,Level Two,DVR.AX
fax,61 2 9221 6305,DVR.AX
industry,Asset Management,DVR.AX
address2,115 Pitt Street,DVR.AX
