Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,6496072.0,1342445.0,1018810.0,230143.0,E25.AX
totalStockholderEquity,62474957.0,6848517.0,7821885.0,9731851.0,E25.AX
otherCurrentLiab,4143872.0,539542.0,744182.0,66696.0,E25.AX
totalAssets,68971029.0,8190962.0,8840695.0,9961994.0,E25.AX
commonStock,76788557.0,16403737.0,15841862.0,14351850.0,E25.AX
retainedEarnings,-20147902.0,-13653487.0,-11832216.0,-8198229.0,E25.AX
treasuryStock,5834302.0,4098267.0,3812239.0,3578230.0,E25.AX
otherAssets,783215.0,,,,E25.AX
cash,34822585.0,2697175.0,2552400.0,2194663.0,E25.AX
totalCurrentLiabilities,5714635.0,1341637.0,1018561.0,230143.0,E25.AX
otherStockholderEquity,5834302.0,4098267.0,3812239.0,3578230.0,E25.AX
propertyPlantEquipment,23809095.0,6868.0,12157.0,16660.0,E25.AX
totalCurrentAssets,44378719.0,8184094.0,8828538.0,9945334.0,E25.AX
netTangibleAssets,62474957.0,6848517.0,7821885.0,9731851.0,E25.AX
netReceivables,563683.0,1173770.0,66223.0,101953.0,E25.AX
inventory,5438698.0,,,,E25.AX
accountsPayable,755569.0,566652.0,64457.0,41956.0,E25.AX
otherLiab,,808.0,249.0,,E25.AX
