Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,-951031.0,38038.0,-435771.0,494558.0,EM1.AX
totalCashflowsFromInvestingActivities,-48384.0,-48384.0,-7751.0,5157.0,EM1.AX
totalCashFromFinancingActivities,8806951.0,20.0,1642019.0,4555788.0,EM1.AX
changeToOperatingActivities,5099127.0,5099127.0,9664.0,-885007.0,EM1.AX
issuanceOfStock,8901787.0,20.0,1800019.0,5250000.0,EM1.AX
netIncome,516416.0,-1291721.0,-2953610.0,-6446493.0,EM1.AX
changeInCash,13885202.0,-1190226.0,-424261.0,3165630.0,EM1.AX
effectOfExchangeRate,147576.0,1240.0,-5038.0,-5038.0,EM1.AX
totalCashFromOperatingActivities,4979059.0,-1191486.0,-2053491.0,-1395315.0,EM1.AX
depreciation,6516.0,2173.0,2642.0,2210.0,EM1.AX
changeToAccountReceivables,-1552572.0,17524.0,59174.0,-10445.0,EM1.AX
otherCashflowsFromFinancingActivities,-94836.0,-94836.0,-108000.0,-744212.0,EM1.AX
changeToNetincome,964200.0,42500.0,1264410.0,5449862.0,EM1.AX
capitalExpenditures,-48384.0,-48384.0,-7751.0,-7751.0,EM1.AX
netBorrowings,,,-50000.0,50000.0,EM1.AX
