Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
investments,1045693,962936,1377442,1092772,EME.AX
changeToLiabilities,30011,-44784,-684,69647,EME.AX
totalCashflowsFromInvestingActivities,703298,414861,681150,537424,EME.AX
netBorrowings,-52008,-49972,-49972,-49972,EME.AX
totalCashFromFinancingActivities,-52008,-49972,-49972,-49972,EME.AX
netIncome,-826956,-440389,-552803,-874482,EME.AX
changeInCash,86113,84870,258040,-66744,EME.AX
totalCashFromOperatingActivities,-565177,-280019,-423110,-604168,EME.AX
depreciation,130152,84896,39380,465167,EME.AX
changeToAccountReceivables,90728,95367,105198,-232323,EME.AX
changeToNetincome,10888,24891,-14201,-32177,EME.AX
capitalExpenditures,-342395,-548075,-696292,-623011,EME.AX
