Breakdown,Value,ticker
zip,2000,EMP.AX
sector,Energy,EMP.AX
longBusinessSummary,"Emperor Energy Limited engages in the exploration, development, and production activities in the upstream oil and gas sector in Australia. It primarily holds a 100% interest in the Vic/P47 exploration permit covering an area of 200 square kilometers located in the offshore Gippsland Basin, Bass Strait, Australia; and holds 100% interest in Canning Basin. The company was formerly known as Oil Basins Limited and changed its name to Emperor Energy Limited in November 2017. Emperor Energy Limited was incorporated in 1982 and is based in Sydney, Australia.",EMP.AX
city,Sydney,EMP.AX
phone,61 4 0227 7282,EMP.AX
state,NSW,EMP.AX
compensationAsOfEpochDate,1640908800,EMP.AX
country,Australia,EMP.AX
website,https://emperorenergy.com.au,EMP.AX
maxAge,86400,EMP.AX
address1,55 York Street,EMP.AX
fax,61 4 0227 7282,EMP.AX
industry,Oil & Gas E&P,EMP.AX
address2,Level 4,EMP.AX
