Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
investments,43000.0,43000.0,43000.0,43000.0,EMR.AX
changeToLiabilities,103000.0,-78000.0,353000.0,-179180.0,EMR.AX
totalCashflowsFromInvestingActivities,-95620000.0,-30474000.0,-2695000.0,-114333.0,EMR.AX
totalCashFromFinancingActivities,282000.0,164615000.0,27136000.0,83857.0,EMR.AX
changeToOperatingActivities,67000.0,65000.0,65000.0,4300000.0,EMR.AX
issuanceOfStock,290000.0,81733000.0,28027000.0,87533.0,EMR.AX
netIncome,-16700000.0,-11471000.0,-8860000.0,-11423602.0,EMR.AX
changeInCash,-113414000.0,118654000.0,16343000.0,-7351548.0,EMR.AX
effectOfExchangeRate,-11686000.0,-7279000.0,-7279000.0,-3651.0,EMR.AX
totalCashFromOperatingActivities,-6390000.0,-8208000.0,-8098000.0,-7317421.0,EMR.AX
depreciation,69000.0,58000.0,66000.0,80257.0,EMR.AX
otherCashflowsFromInvestingActivities,-3133000.0,-413000.0,-413000.0,-413000.0,EMR.AX
changeToAccountReceivables,1344000.0,-975000.0,-90000.0,192472.0,EMR.AX
otherCashflowsFromFinancingActivities,-8000.0,-9969000.0,-891000.0,-3676.0,EMR.AX
changeToNetincome,8727000.0,4193000.0,433000.0,-287368.0,EMR.AX
capitalExpenditures,-92530000.0,-30061000.0,-2820000.0,-114333.0,EMR.AX
netBorrowings,,92851000.0,92851000.0,92851000.0,EMR.AX
