Breakdown,Value,ticker
zip,90069,EN1.AX
sector,Communication Services,EN1.AX
longBusinessSummary,"engage:BDR Limited operates as an Internet-based marketplace platform and technology solution provider in the United States, Australia, and internationally. Its proprietary technology is used to optimize the sale of advertising inventory from digital publishers, including Websites and apps to advertisers and their agents, such as brands, agencies, and advertising platforms. The company's proprietary technology allows digital publishers to monetize available advertising space by making the inventory available to multiple advertisers, as well as provides various related technologies designed to help publishers; and ad exchange platform allows publishers to sell space for video advertising on webpages that do not have video content. engage:BDR Limited was founded in 2009 and is based in West Hollywood, California.",EN1.AX
city,West Hollywood,EN1.AX
phone,310 954 0751,EN1.AX
state,CA,EN1.AX
compensationAsOfEpochDate,1609372800,EN1.AX
country,United States,EN1.AX
website,https://engagebdr.com,EN1.AX
maxAge,86400,EN1.AX
address1,"8581 Santa Monica Boulevard, #12",EN1.AX
industry,Advertising Agencies,EN1.AX
