Breakdown,Value,ticker
zip,2064,EPX.AX
sector,Technology,EPX.AX
longBusinessSummary,"EP&T Global Limited provides building energy management solutions to reduce energy and water wastage, and enhance energy efficiency within commercial real estate in Australia, the United Kingdom, Hong Kong, and the Middle East. Its EDGE platform collects, processes, analyses, visualizes, and interprets Internet of Things data for the environmental performance of buildings. The company's solutions cover energy and water analytics, sustainability reporting, building intelligence, demand management, tenant expenditures identifying, and health and wellbeing. Its EDGE analytics platform collects data from various processed and sources, such as BMS data, weather, sensors, occupancy, meters, and consumption history. The company's services comprise customized reporting, alerts/faults triage, performance reviews, curated action items, power factor correction, engineers on call, and building audits. It serves commercial office, retail, hospitals, schools, hotels, clubs, and industrial sectors. The company was founded in 1993 and is headquartered in Sydney, Australia.",EPX.AX
city,Sydney,EPX.AX
phone,61 2 8422 6000,EPX.AX
state,NSW,EPX.AX
compensationAsOfEpochDate,1640908800,EPX.AX
country,Australia,EPX.AX
website,https://www.eptglobal.com,EPX.AX
maxAge,86400,EPX.AX
address1,407 Pacific Highway,EPX.AX
industry,Software—Infrastructure,EPX.AX
address2,Suite 2 Ground Floor Artarmon,EPX.AX
