Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
researchDevelopment,,,,,ERW.AX
effectOfAccountingCharges,,,,,ERW.AX
incomeBeforeTax,-3258566,-78124,-101710,-307993,ERW.AX
minorityInterest,,,,,ERW.AX
netIncome,-3258566,-42865,6802,-292428,ERW.AX
sellingGeneralAdministrative,474644,55061,34616,56076,ERW.AX
grossProfit,0,0,0,0,ERW.AX
ebit,-3302724,-62008,-41269,-69361,ERW.AX
operatingIncome,-3302724,-62008,-41269,-69361,ERW.AX
otherOperatingExpenses,155357,6947,6653,13285,ERW.AX
interestExpense,-332,-37937,-39057,-29419,ERW.AX
extraordinaryItems,,,,,ERW.AX
nonRecurring,,,,,ERW.AX
otherItems,,,,,ERW.AX
incomeTaxExpense,0,-35259,-108512,-15565,ERW.AX
totalRevenue,0,0,0,0,ERW.AX
totalOperatingExpenses,3302724,62008,41269,69361,ERW.AX
costOfRevenue,0,0,0,0,ERW.AX
totalOtherIncomeExpenseNet,44158,-16116,-60441,-238632,ERW.AX
discontinuedOperations,,,,,ERW.AX
netIncomeFromContinuingOps,-3258566,-42865,6802,-292428,ERW.AX
netIncomeApplicableToCommonShares,-3258566,-42865,6802,-292428,ERW.AX
