Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
intangibleAssets,3516000.0,3295000.0,3705000.0,3967000.0,ESK.AX
capitalSurplus,15212000.0,7998000.0,7742000.0,7742000.0,ESK.AX
totalLiab,6008000.0,7082000.0,6767000.0,6926000.0,ESK.AX
totalStockholderEquity,4096000.0,-620000.0,-33000.0,39000.0,ESK.AX
otherCurrentLiab,3251000.0,2890000.0,2678000.0,2475000.0,ESK.AX
totalAssets,10104000.0,6462000.0,6734000.0,6965000.0,ESK.AX
commonStock,739000.0,652000.0,645000.0,645000.0,ESK.AX
otherCurrentAssets,128000.0,92000.0,,,ESK.AX
retainedEarnings,-12978000.0,-10678000.0,-9793000.0,-9846000.0,ESK.AX
otherLiab,127000.0,167000.0,200000.0,246000.0,ESK.AX
treasuryStock,1123000.0,1408000.0,1373000.0,1498000.0,ESK.AX
otherAssets,404000.0,,,196000.0,ESK.AX
cash,4180000.0,931000.0,51000.0,41000.0,ESK.AX
totalCurrentLiabilities,5769000.0,5368000.0,6567000.0,6434000.0,ESK.AX
shortLongTermDebt,805000.0,1262000.0,1967000.0,1757000.0,ESK.AX
otherStockholderEquity,1123000.0,1408000.0,1373000.0,1498000.0,ESK.AX
propertyPlantEquipment,148000.0,119000.0,43000.0,64000.0,ESK.AX
totalCurrentAssets,6036000.0,3048000.0,2986000.0,2738000.0,ESK.AX
netTangibleAssets,580000.0,-3915000.0,-3738000.0,-3928000.0,ESK.AX
netReceivables,1410000.0,1870000.0,2721000.0,2551000.0,ESK.AX
inventory,318000.0,155000.0,214000.0,146000.0,ESK.AX
accountsPayable,845000.0,609000.0,1079000.0,1480000.0,ESK.AX
longTermDebt,,1417000.0,,246000.0,ESK.AX
