Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
changeToLiabilities,0.0,0.0,0.0,-117000.0,ESK.AX
totalCashflowsFromInvestingActivities,-1470000.0,-1223000.0,-1267000.0,-819000.0,ESK.AX
netBorrowings,-636000.0,754000.0,-129000.0,1305000.0,ESK.AX
totalCashFromFinancingActivities,2901000.0,739000.0,-246000.0,1305000.0,ESK.AX
issuanceOfStock,3827000.0,3827000.0,3827000.0,3827000.0,ESK.AX
netIncome,-2300000.0,-871000.0,53000.0,-1546000.0,ESK.AX
changeInCash,3249000.0,880000.0,10000.0,-195000.0,ESK.AX
effectOfExchangeRate,85000.0,85000.0,-5000.0,-82000.0,ESK.AX
totalCashFromOperatingActivities,1733000.0,1364000.0,1528000.0,-599000.0,ESK.AX
depreciation,246000.0,239000.0,132000.0,123000.0,ESK.AX
otherCashflowsFromFinancingActivities,-290000.0,-15000.0,-117000.0,-117000.0,ESK.AX
changeToNetincome,2697000.0,569000.0,-43000.0,-269000.0,ESK.AX
capitalExpenditures,-69000.0,-18000.0,-12000.0,-62000.0,ESK.AX
changeToInventory,,,,129000.0,ESK.AX
changeToAccountReceivables,,,,-703000.0,ESK.AX
