Breakdown,Value,ticker
zip,6000,ESR.AX
sector,Basic Materials,ESR.AX
longBusinessSummary,"Estrella Resources Limited engages in the exploration and development of nickel projects in Western Australia. It holds 100% interests in the Carr Boyd nickel project, which includes three mining leases and six exploration licenses; and Spargoville nickel project located in Western Australia. The company was incorporated in 2011 and is based in Perth, Australia.",ESR.AX
city,Perth,ESR.AX
phone,61 8 9481 0389,ESR.AX
state,WA,ESR.AX
compensationAsOfEpochDate,1640908800,ESR.AX
country,Australia,ESR.AX
website,https://www.estrellaresources.com.au,ESR.AX
maxAge,86400,ESR.AX
address1,216 St Georges Terrace,ESR.AX
fax,61 8 9463 6103,ESR.AX
industry,Other Industrial Metals & Mining,ESR.AX
address2,Level 11,ESR.AX
