Breakdown,Value,ticker
zip,6008,EVE.AX
sector,Consumer Defensive,EVE.AX
longBusinessSummary,"Eve Health Group Limited, together with its subsidiaries, engages in the production and marketing of nutrition, health, and wellness products in Australia, North America, China, and Asia. The company operates through three segments: Jenbrook, Meluka, and Investment. It provides organic tea tree oils and essential oils; and distributes botanical oils. The company also offers organic raw honey and raw honey probiotic concentrates; and contract manufacturing services. The company was formerly known as EVE Investments Limited. Eve Health Group Limited was incorporated in 2003 and is based in Subiaco, Australia.",EVE.AX
city,Subiaco,EVE.AX
phone,61 8 6465 5500,EVE.AX
state,WA,EVE.AX
compensationAsOfEpochDate,1640908800,EVE.AX
country,Australia,EVE.AX
website,https://www.evehealthgroup.com.au,EVE.AX
maxAge,86400,EVE.AX
address1,245 Churchill Avenue,EVE.AX
industry,Packaged Foods,EVE.AX
address2,Suite 1,EVE.AX
