Breakdown,Value,ticker
zip,3,FCL.AX
sector,Technology,FCL.AX
fullTimeEmployees,1065,FCL.AX
longBusinessSummary,"FINEOS Corporation Holdings plc engages in the development and sale of enterprise claims and policy management software for the life, accident, and health insurance industry worldwide. The company offers FINEOS Platform, a software-as-a-service core insurance platform. Its FINEOS Platform comprises FINEOS AdminSuite, a comprehensive core insurance suite; FINEOS Engage, a digital tool that offers role-based portals for employees, employers, intermediaries, and providers; and FINEOS Insight that offers real-time analytics and embed predictive insights in core business processes. It also offers professional and customer support services. The company was founded in 1993 and is headquartered in Dublin, Ireland.",FCL.AX
city,Dublin,FCL.AX
phone,353 1 639 9700,FCL.AX
compensationAsOfEpochDate,1640908800,FCL.AX
country,Ireland,FCL.AX
website,https://www.fineos.com,FCL.AX
maxAge,86400,FCL.AX
address1,FINEOS House,FCL.AX
industry,Software—Application,FCL.AX
address2,Eastpoint Business Park Alfie Byrne Road East Wall,FCL.AX
