Breakdown,Value,ticker
zip,6005,FEX.AX
sector,Basic Materials,FEX.AX
longBusinessSummary,"Fenix Resources Limited engages in the exploration, development, and mining of mineral tenements. It operates through two segments, Iron Ridge Project and Trucking Joint Venture. The company's flagship property is the 100% owned Iron Ridge Iron Ore project located in Western Australia. The company was formerly known as Emergent Resources Limited and changed its name to Fenix Resources Limited. Fenix Resources Limited was incorporated in 2007 and is based in West Perth, Australia.",FEX.AX
city,West Perth,FEX.AX
phone,61 8 9226 2011,FEX.AX
state,WA,FEX.AX
compensationAsOfEpochDate,1640908800,FEX.AX
country,Australia,FEX.AX
website,https://fenixresources.com.au,FEX.AX
maxAge,86400,FEX.AX
address1,Emerald House,FEX.AX
fax,61 8 9226 2099,FEX.AX
industry,Other Industrial Metals & Mining,FEX.AX
address2,Office 10 1202 Hay Street,FEX.AX
