Breakdown,Value,ticker
zip,6005,FIN.AX
sector,Basic Materials,FIN.AX
longBusinessSummary,"Fin Resources Limited engages in the exploration and evaluation of mineral properties in Western Australia. The company explore for gold, base metals, graphite, nickel, copper, and cobalt deposits. It holds 80% interests in the North Onslow Solar Salt Project covering an area of 425 square kilometers; the McKenzie Springs project covering an area of approximately 134 square kilometers; the Sentinel project covering an area of approximately 44 square kilometers; and the South Big Bell project covering an area of approximately 50 square kilometers located in Western Australia. The company was formerly known as Orca Energy Limited and changed its name to Fin Resources Limited in April 2018. Fin Resources Limited was incorporated in 1985 and is based in West Perth, Australia.",FIN.AX
city,West Perth,FIN.AX
phone,61 8 6117 0453,FIN.AX
state,WA,FIN.AX
compensationAsOfEpochDate,1640908800,FIN.AX
country,Australia,FIN.AX
website,https://www.finresources.com.au,FIN.AX
maxAge,86400,FIN.AX
address1,35 Richardson Street,FIN.AX
fax,61 8 6117 0453,FIN.AX
industry,Other Industrial Metals & Mining,FIN.AX
address2,Level 1,FIN.AX
