Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
investments,-12000000,25053000,10609000,11541000,FML.AX
changeToLiabilities,66000,-1596000,384000,-300000,FML.AX
totalCashflowsFromInvestingActivities,-22181000,13075000,2914000,1930000,FML.AX
netBorrowings,20101000,20101000,20101000,20101000,FML.AX
totalCashFromFinancingActivities,20101000,20101000,20101000,20101000,FML.AX
changeToOperatingActivities,-67000,-154000,235000,-86000,FML.AX
netIncome,-7858000,-2063000,-4207000,-6194000,FML.AX
changeInCash,-6140000,10045000,1020000,-462000,FML.AX
totalCashFromOperatingActivities,-4060000,-3030000,-1894000,-2392000,FML.AX
depreciation,371000,523000,601000,722000,FML.AX
otherCashflowsFromInvestingActivities,-131000,2056000,167000,10000,FML.AX
changeToAccountReceivables,40000,241000,468000,264000,FML.AX
changeToNetincome,3388000,19000,625000,3202000,FML.AX
capitalExpenditures,-10050000,-14034000,-7862000,-9621000,FML.AX
