Breakdown,2021-03-31 00:00:00,2020-03-31 00:00:00,2019-03-31 00:00:00,2018-03-31 00:00:00,ticker
researchDevelopment,107650,527705,485483,377830,FRX.AX
effectOfAccountingCharges,,,,,FRX.AX
incomeBeforeTax,-2439481,-2458797,-2876920,-19139331,FRX.AX
minorityInterest,,,,,FRX.AX
netIncome,-2439481,-2458797,-2876920,-19139331,FRX.AX
sellingGeneralAdministrative,1127554,5331022,4887599,4709965,FRX.AX
grossProfit,2113630,2842878,2627570,1398288,FRX.AX
ebit,845282,-3078536,-2821087,-5631410,FRX.AX
operatingIncome,845282,-3078536,-2821087,-5631410,FRX.AX
otherOperatingExpenses,,,,,FRX.AX
interestExpense,-57833,-393873,-326564,-225909,FRX.AX
extraordinaryItems,,,,,FRX.AX
nonRecurring,,,,,FRX.AX
otherItems,,,,,FRX.AX
incomeTaxExpense,0,0,0,0,FRX.AX
totalRevenue,2520003,7284824,5929017,2969873,FRX.AX
totalOperatingExpenses,1674721,10363360,8750104,8601283,FRX.AX
costOfRevenue,406373,4441946,3301447,1571585,FRX.AX
totalOtherIncomeExpenseNet,-3284763,619739,-55833,-13507921,FRX.AX
discontinuedOperations,,,,,FRX.AX
netIncomeFromContinuingOps,-2439481,-2458797,-2876920,-19139331,FRX.AX
netIncomeApplicableToCommonShares,-2439481,-2458797,-2876920,-19139331,FRX.AX
