Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
intangibleAssets,5000.0,,,,FSI.AX
totalLiab,11667000.0,5107000.0,4791000.0,5552000.0,FSI.AX
totalStockholderEquity,63124000.0,51544000.0,50961000.0,47586000.0,FSI.AX
otherCurrentLiab,355000.0,1774000.0,886000.0,1370000.0,FSI.AX
totalAssets,74791000.0,56651000.0,55752000.0,53138000.0,FSI.AX
commonStock,36179000.0,35659000.0,35659000.0,35659000.0,FSI.AX
retainedEarnings,270000.0,2255000.0,2852000.0,1176000.0,FSI.AX
otherLiab,7682000.0,2746000.0,2824000.0,2949000.0,FSI.AX
treasuryStock,26675000.0,13630000.0,12450000.0,10751000.0,FSI.AX
cash,3061000.0,2237000.0,3763000.0,3716000.0,FSI.AX
totalCurrentLiabilities,3985000.0,2361000.0,1967000.0,2603000.0,FSI.AX
otherStockholderEquity,26675000.0,13630000.0,12450000.0,10751000.0,FSI.AX
totalCurrentAssets,3250000.0,2425000.0,3893000.0,3990000.0,FSI.AX
longTermInvestments,71536000.0,54226000.0,51859000.0,49148000.0,FSI.AX
netTangibleAssets,63119000.0,51544000.0,50961000.0,47586000.0,FSI.AX
netReceivables,151000.0,161000.0,130000.0,274000.0,FSI.AX
accountsPayable,3630000.0,587000.0,1081000.0,1233000.0,FSI.AX
