Breakdown,Value,ticker
zip,4000,FXG.AX
sector,Basic Materials,FXG.AX
longBusinessSummary,"Felix Gold Limited engages in the exploration and development of gold properties in Alaska. The company holds interests in the Treasure Creek project covering an area of 11,573 hectares; the Grant-Ester project covering an area of 14,638 hectares; the NE Fairbanks project covering an area of 3,397 located in the Fairbanks Mining District; and holds interest in the Liberty Bell project covering an area of 9,623 hectares located in the Bonnifield Mining District. The company was incorporated in 2020 and is based in Brisbane, Australia.",FXG.AX
city,Brisbane,FXG.AX
state,QLD,FXG.AX
country,Australia,FXG.AX
website,https://www.felixgold.com.au,FXG.AX
maxAge,86400,FXG.AX
address1,344 Queen Street,FXG.AX
industry,Gold,FXG.AX
address2,Level 15,FXG.AX
