Breakdown,2020-12-31 00:00:00,ticker
intangibleAssets,8291000,GFN.AX
capitalSurplus,7135000,GFN.AX
totalLiab,37444000,GFN.AX
totalStockholderEquity,-23202000,GFN.AX
minorityInterest,3434000,GFN.AX
otherCurrentLiab,14642000,GFN.AX
totalAssets,17676000,GFN.AX
retainedEarnings,-45925000,GFN.AX
otherLiab,2294000,GFN.AX
goodWill,1406000,GFN.AX
treasuryStock,15588000,GFN.AX
otherAssets,126000,GFN.AX
cash,2001000,GFN.AX
totalCurrentLiabilities,24339000,GFN.AX
deferredLongTermAssetCharges,126000,GFN.AX
shortLongTermDebt,856000,GFN.AX
otherStockholderEquity,15588000,GFN.AX
propertyPlantEquipment,2211000,GFN.AX
totalCurrentAssets,3689000,GFN.AX
longTermInvestments,1953000,GFN.AX
netTangibleAssets,-32899000,GFN.AX
netReceivables,1688000,GFN.AX
longTermDebt,9882000,GFN.AX
accountsPayable,342000,GFN.AX
