Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
totalLiab,10759031.0,664981.0,840988.0,1215503.0,GMD.AX
totalStockholderEquity,23908787.0,15104943.0,1839300.0,3982642.0,GMD.AX
otherCurrentLiab,1386139.0,160839.0,214746.0,240889.0,GMD.AX
totalAssets,34667818.0,15769924.0,2680288.0,5198145.0,GMD.AX
commonStock,80311616.0,54670295.0,35459763.0,30459763.0,GMD.AX
retainedEarnings,-55119889.0,-38770149.0,-33639880.0,-26603291.0,GMD.AX
otherLiab,8100559.0,,,,GMD.AX
treasuryStock,-1282940.0,-795203.0,19417.0,126170.0,GMD.AX
cash,10966166.0,11145421.0,2609843.0,5104901.0,GMD.AX
totalCurrentLiabilities,2658472.0,664981.0,840988.0,1215503.0,GMD.AX
otherStockholderEquity,-1282940.0,-795203.0,19417.0,126170.0,GMD.AX
propertyPlantEquipment,23598000.0,4469427.0,6123.0,7285.0,GMD.AX
totalCurrentAssets,11069818.0,11300497.0,2674165.0,5190860.0,GMD.AX
netTangibleAssets,23908787.0,15104943.0,1839300.0,3982642.0,GMD.AX
netReceivables,78795.0,141268.0,36429.0,85959.0,GMD.AX
accountsPayable,1088784.0,413569.0,553490.0,902527.0,GMD.AX
