Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,8032039,-2267182,775404,791757,GNX.AX
totalCashflowsFromInvestingActivities,-153441657,-37992018,-12342591,-82331203,GNX.AX
netBorrowings,5068468,86549664,2345739,85115032,GNX.AX
totalCashFromFinancingActivities,138233522,104120731,4289489,88339782,GNX.AX
issuanceOfStock,139407069,21458390,2125000,3224750,GNX.AX
netIncome,-18725873,-10534250,-5477931,-7461082,GNX.AX
changeInCash,-20040825,62025109,-7531543,-94190,GNX.AX
totalCashFromOperatingActivities,-4832690,-4103604,521559,-6102768,GNX.AX
depreciation,22761608,8006499,6369366,3017338,GNX.AX
otherCashflowsFromInvestingActivities,-313112,-108710,-109882,628720,GNX.AX
changeToAccountReceivables,-9442947,-1525844,-430966,-1306012,GNX.AX
otherCashflowsFromFinancingActivities,-6242015,-3887323,-181250,-181250,GNX.AX
changeToNetincome,-7457517,2217173,-714314,-1144769,GNX.AX
capitalExpenditures,-153128545,-37883308,-6437332,-82959923,GNX.AX
