Breakdown,Value,ticker
zip,2450,GOW.AX
sector,Financial Services,GOW.AX
longBusinessSummary,"Gowing Bros. Limited operates as an investment and wealth management company in Australia. It operates through two divisions, Investment Management and Property Management. The Investment Management segment invests in securities listed on the Australian Stock Exchange in private equity vehicles, as well as loans, including mezzanine finance arrangements. The Property Management segment engages in the ownership and leasing of commercial properties; and the development and sale of residential and commercial properties. The company was founded in 1868 and is headquartered in Coffs Harbour, Australia.",GOW.AX
city,Coffs Harbour,GOW.AX
phone,61 2 9264 6321,GOW.AX
state,NSW,GOW.AX
compensationAsOfEpochDate,1640908800,GOW.AX
country,Australia,GOW.AX
website,https://www.gowings.com,GOW.AX
maxAge,86400,GOW.AX
address1,The Gowings Building,GOW.AX
fax,61 2 9264 6240,GOW.AX
industry,Asset Management,GOW.AX
address2,"Suite 3, Level 3 35-61 Harbour Drive",GOW.AX
