Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
intangibleAssets,3000.0,3000.0,3000.0,3000.0,GPS.AX
totalLiab,1415000.0,1331000.0,799000.0,4238000.0,GPS.AX
totalStockholderEquity,327000.0,1711000.0,1686000.0,3153000.0,GPS.AX
otherCurrentLiab,2000.0,638000.0,547000.0,634000.0,GPS.AX
totalAssets,1742000.0,3042000.0,2485000.0,4888000.0,GPS.AX
commonStock,11901000.0,11901000.0,10354000.0,10354000.0,GPS.AX
retainedEarnings,-13059000.0,-11666000.0,-10212000.0,-9951000.0,GPS.AX
treasuryStock,1485000.0,1476000.0,1544000.0,2750000.0,GPS.AX
otherAssets,920000.0,1821000.0,1855000.0,,GPS.AX
cash,13000.0,473000.0,21000.0,194000.0,GPS.AX
totalCurrentLiabilities,1415000.0,1331000.0,799000.0,3998000.0,GPS.AX
otherStockholderEquity,1485000.0,1476000.0,1544000.0,2750000.0,GPS.AX
totalCurrentAssets,819000.0,1155000.0,627000.0,289000.0,GPS.AX
netTangibleAssets,324000.0,1708000.0,1683000.0,3150000.0,GPS.AX
netReceivables,806000.0,682000.0,606000.0,86000.0,GPS.AX
accountsPayable,5000.0,352000.0,4000.0,943000.0,GPS.AX
longTermInvestments,,63000.0,,150000.0,GPS.AX
minorityInterest,,,,-2503000.0,GPS.AX
otherLiab,,,,240000.0,GPS.AX
propertyPlantEquipment,,,,4446000.0,GPS.AX
