Breakdown,Value,ticker
zip,629175,GPS.AX
sector,Real Estate,GPS.AX
longBusinessSummary,"GPS Alliance Holdings Limited, together with its subsidiaries, provides real estate agency services in Singapore and Malaysia. It offers property solution, such as real estate consultancy and home furnishing, as well as property management and development services. The company also provides interior design and fit-out works, including kitchen and wardrobe cabinetry, and partition work, as well as installation of false ceilings and fire doors. GPS Alliance Holdings Limited was founded in 2010 and is based in Singapore.",GPS.AX
city,Singapore,GPS.AX
phone,65 6253 1110,GPS.AX
compensationAsOfEpochDate,1609372800,GPS.AX
country,Singapore,GPS.AX
website,https://www.gpsalliance.com.au,GPS.AX
maxAge,86400,GPS.AX
address1,106 International Road,GPS.AX
fax,65 6256 1110,GPS.AX
industry,Real Estate Services,GPS.AX
