Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,-26276,-31992,164079,127742,GSM.AX
totalCashflowsFromInvestingActivities,23215,-57438,-174415,-33351,GSM.AX
totalCashFromFinancingActivities,4253715,1284600,4245359,504820,GSM.AX
changeToOperatingActivities,24156,34722,201871,-101992,GSM.AX
issuanceOfStock,4473750,1423750,4632000,537384,GSM.AX
netIncome,-3139752,-1663463,-2932976,-519650,GSM.AX
changeInCash,1940793,-233083,2504627,178599,GSM.AX
totalCashFromOperatingActivities,-2336137,-1460245,-1566317,-292870,GSM.AX
depreciation,50778,108165,857007,129,GSM.AX
otherCashflowsFromInvestingActivities,2640,2640,2640,-2880,GSM.AX
changeToAccountReceivables,-28098,-12677,7531,-30175,GSM.AX
otherCashflowsFromFinancingActivities,-220035,-139150,-386641,-32564,GSM.AX
changeToNetincome,783055,105000,136171,231076,GSM.AX
capitalExpenditures,-15425,-57438,-174415,-30471,GSM.AX
