Breakdown,Value,ticker
zip,2042,GSS.AX
sector,Healthcare,GSS.AX
longBusinessSummary,"Genetic Signatures Limited operates as a molecular diagnostic (MDx) company in Australia, Asia Pacific, North America, Europe, the Middle East, and Africa. It designs and manufactures a suite of real-time polymerase chain reaction-based products for detection of infectious diseases under EasyScreen brand name. The company also provides MDx 3Base platform technology that enables hospital and pathology laboratories to screen for a range of infectious pathogens. In addition, it offers detection kits for gastrointestinal infections, respiratory pathogens, sexual health, anti-microbial resistance, meningitis, and tropical disease. The company was incorporated in 2001 and is headquartered in Newtown, Australia.",GSS.AX
city,Newtown,GSS.AX
phone,61 2 9870 7580,GSS.AX
state,NSW,GSS.AX
compensationAsOfEpochDate,1640908800,GSS.AX
country,Australia,GSS.AX
website,https://www.geneticsignatures.com,GSS.AX
maxAge,86400,GSS.AX
address1,7 Eliza Street,GSS.AX
industry,Diagnostics & Research,GSS.AX
