Breakdown,Value,ticker
zip,2010,GTI.AX
sector,Technology,GTI.AX
longBusinessSummary,"Gratifii Limited operates as a technology company that enables businesses to drive customer engagement with loyalty and rewards programs in Australia, South Africa, and Singapore. The company operates Mosaic, a customer enterprise engagement cloud platform that allows businesses to customize, operate, and manage loyalty programs. It serves the retail, hospitality, telecom, banking, insurance, and financial service industries. The company was formerly known as Mobecom Limited and changed its name to Gratifii Limited in May 2021. Gratifii Limited is headquartered in Surry Hills, Australia.",GTI.AX
city,Surry Hills,GTI.AX
phone,61 2 9922 6988,GTI.AX
state,NSW,GTI.AX
compensationAsOfEpochDate,1640908800,GTI.AX
country,Australia,GTI.AX
website,https://gratifii.com,GTI.AX
maxAge,86400,GTI.AX
address1,25 Cooper Street,GTI.AX
fax,61 2 9922 6966,GTI.AX
industry,Software—Application,GTI.AX
address2,Level 2,GTI.AX
