Breakdown,Value,ticker
zip,2060,GTN.AX
sector,Communication Services,GTN.AX
longBusinessSummary,"GTN Limited, together with its subsidiaries, operates broadcast media advertising platforms that supply traffic information reports to radio stations. The company offers information reports, such as traffic and news through advertising spots on television and radio networks directly to advertisers, as well as through advertising agencies. Its advertising platform enables advertisers to reach audiences in Australia, the United Kingdom, Canada, and Brazil. The company was founded in 1997 and is headquartered in North Sydney, Australia.",GTN.AX
city,North Sydney,GTN.AX
phone,61 2 9955 3500,GTN.AX
state,NSW,GTN.AX
compensationAsOfEpochDate,1640908800,GTN.AX
country,Australia,GTN.AX
website,https://www.gtnetwork.com.au,GTN.AX
maxAge,86400,GTN.AX
address1,100 Miller Street,GTN.AX
industry,Advertising Agencies,GTN.AX
address2,"Level 42, Northpoint",GTN.AX
