Breakdown,Value,ticker
zip,4000,GW1.AX
sector,Basic Materials,GW1.AX
longBusinessSummary,"Greenwing Resources Ltd engages in the production and sale of industrial mineral concentrates. It holds 100% interests in the Graphmada Large Flake Graphite mine located in eastern Madagascar; the San Jorge lithium brine project that includes 15 granted exploration licenses covering an area of approximately 36,000 hectares located in Argentina; and the Millie Reward project located in central Madagascar. The company was formerly known as Bass Metals Limited and changed its name to Greenwing Resources Ltd in July 2021. Greenwing Resources Ltd was incorporated in 2004 and is based in Brisbane, Australia.",GW1.AX
city,Brisbane,GW1.AX
phone,61 7 3063 3233,GW1.AX
state,QLD,GW1.AX
compensationAsOfEpochDate,1640908800,GW1.AX
country,Australia,GW1.AX
website,https://www.greenwingresources.com,GW1.AX
maxAge,86400,GW1.AX
address1,Matisse Tower,GW1.AX
fax,61 7 3221 0783,GW1.AX
industry,Other Industrial Metals & Mining,GW1.AX
address2,Level 21 110 Mary Street,GW1.AX
