Breakdown,Value,ticker
zip,4006,HLA.AX
sector,Healthcare,HLA.AX
longBusinessSummary,"Healthia Limited provides health services in Australia. The company operates 94 podiatry clinics under the My FootDr brand; 52 physiotherapy clinics; and 14 hand therapy clinics, as well as manufactures and sells 3D printed orthotic devices for podiatry clinics. It also offers podiatry and foot and nail care products, hand and upper limb therapies, orthopaedic, optometry, pilates, retail footwear, custom orthotic manufacturing services, and medical products to podiatrists, hospitals, medical centres, nursing homes, and allied health professionals. The company was incorporated in 2018 and is based in Bowen Hills, Australia.",HLA.AX
city,Bowen Hills,HLA.AX
phone,61 7 3180 4900,HLA.AX
state,QLD,HLA.AX
compensationAsOfEpochDate,1640908800,HLA.AX
country,Australia,HLA.AX
website,https://www.healthia.com.au,HLA.AX
maxAge,86400,HLA.AX
address1,East Tower,HLA.AX
fax,61 7 3112 3901,HLA.AX
industry,Medical Care Facilities,HLA.AX
address2,Level 4 25 Montpelier Road,HLA.AX
