Breakdown,Value,ticker
zip,3205,HLO.AX
sector,Consumer Cyclical,HLO.AX
fullTimeEmployees,726,HLO.AX
longBusinessSummary,"Helloworld Travel Limited operates as a travel distribution company in Australia, New Zealand, and internationally. The company provides international and domestic travel products and services, as well as operates a franchised network of travel agents. It operates retail travel brands, including Helloworld TravelÂthe Travel Professionals; and a network of retail outlets, such as Helloworld Travel Associate, Helloworld Business Travel, Magellan Travel, Mobile Travel Agent, My Travel Group, and The Travel Brokers. The company also provides corporate travel management services, including booking flights, accommodation, and other services through QBT, APX, Inspire Travel Management, TravelEdge, Show Group, GO Conference & Incentives, and AOT Hotels. Its wholesale operations include distribution of travel products and services under the Viva Holidays, Sunlover Holidays, Territory Discoveries, Asia Escape Holidays, Skiddoo, GO Holidays, Ready Rooms, Seven Oceans Cruises, and Williments Travel brands, as well as operates needitnow.com.au. In addition, the company also provides air, cruise, and land products for packaging and sale through retail travel agency networks and other third-party retailers; and inbound and destination management services. Further, it offers access to a database of various ocean and river cruise products, including itineraries, cruise lines, ocean and river cruise vessels, and information on various ports, as well as cruise packaging and services. The company was formerly known as Helloworld Limited and changed its name to Helloworld Travel Limited in April 2017. Helloworld Travel Limited was incorporated in 2000 and is based in Melbourne, Australia.",HLO.AX
city,Melbourne,HLO.AX
phone,61 3 9867 9600,HLO.AX
state,VIC,HLO.AX
compensationAsOfEpochDate,1640908800,HLO.AX
country,Australia,HLO.AX
website,https://www.helloworldlimited.com.au,HLO.AX
maxAge,86400,HLO.AX
address1,179 Normanby Road,HLO.AX
fax,61 3 9867 4855,HLO.AX
industry,Travel Services,HLO.AX
