Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,-57600000.0,61400000.0,9400000.0,-4100000.0,HLS.AX
totalCashflowsFromInvestingActivities,386900000.0,-121900000.0,-217500000.0,-132200000.0,HLS.AX
netBorrowings,-758800000.0,-171400000.0,-66000000.0,-20600000.0,HLS.AX
totalCashFromFinancingActivities,-984700000.0,-260300000.0,125700000.0,-81500000.0,HLS.AX
changeToOperatingActivities,34400000.0,23800000.0,-17200000.0,71800000.0,HLS.AX
netIncome,43700000.0,-70500000.0,55300000.0,4100000.0,HLS.AX
changeInCash,-71800000.0,24800000.0,35700000.0,-11500000.0,HLS.AX
repurchaseOfStock,-97500000.0,-97500000.0,-97500000.0,-97500000.0,HLS.AX
effectOfExchangeRate,100000.0,100000.0,-100000.0,-100000.0,HLS.AX
totalCashFromOperatingActivities,525900000.0,406900000.0,127600000.0,202200000.0,HLS.AX
depreciation,237000000.0,246100000.0,60200000.0,57100000.0,HLS.AX
otherCashflowsFromInvestingActivities,-10000000.0,-32300000.0,-32300000.0,-32300000.0,HLS.AX
dividendsPaid,-56300000.0,-21200000.0,-52300000.0,-56900000.0,HLS.AX
changeToInventory,-8900000.0,-4600000.0,200000.0,2900000.0,HLS.AX
changeToAccountReceivables,46100000.0,-74400000.0,-18600000.0,-10400000.0,HLS.AX
otherCashflowsFromFinancingActivities,-72100000.0,-67700000.0,-6500000.0,-4000000.0,HLS.AX
changeToNetincome,127200000.0,247700000.0,42000000.0,62600000.0,HLS.AX
capitalExpenditures,-48400000.0,-49300000.0,-79600000.0,-57000000.0,HLS.AX
investments,,,9900000.0,9900000.0,HLS.AX
issuanceOfStock,,,250500000.0,250500000.0,HLS.AX
