Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
investments,-2105911,-2105911,2240121,2240121,HLX.AX
changeToLiabilities,-106998,9313,-50631,-552094,HLX.AX
totalCashflowsFromInvestingActivities,-2134911,-711918,-694457,-1026074,HLX.AX
netBorrowings,-46624,-46782,-46782,-46782,HLX.AX
totalCashFromFinancingActivities,8468099,1162603,840000,1105985,HLX.AX
changeToOperatingActivities,-33432,-27333,29788,28881,HLX.AX
issuanceOfStock,9111773,1306927,900000,1200000,HLX.AX
netIncome,-1169550,-480596,-720037,-348200,HLX.AX
changeInCash,5234547,-211035,-534238,-1064998,HLX.AX
effectOfExchangeRate,5485,5485,-6345,-426,HLX.AX
totalCashFromOperatingActivities,-1104126,-661720,-673436,-1144483,HLX.AX
depreciation,54257,58486,13469,45020,HLX.AX
otherCashflowsFromInvestingActivities,-25000,-10000,-10000,-32514,HLX.AX
changeToAccountReceivables,189740,-271309,-20029,-374194,HLX.AX
otherCashflowsFromFinancingActivities,-597050,-97542,-60000,-94015,HLX.AX
changeToNetincome,-38143,49719,74004,56104,HLX.AX
capitalExpenditures,-4000,-701918,-2924578,-1500560,HLX.AX
