Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-03-31 00:00:00,2018-03-31 00:00:00,ticker
intangibleAssets,3455000.0,,8000.0,54000.0,HMY.AX
totalLiab,313072000.0,151335000.0,44214000.0,4287000.0,HMY.AX
totalStockholderEquity,75694000.0,28885000.0,21292000.0,5436000.0,HMY.AX
totalAssets,388766000.0,180220000.0,65506000.0,9723000.0,HMY.AX
commonStock,131399000.0,56686000.0,33092000.0,32812000.0,HMY.AX
otherCurrentAssets,654000.0,327000.0,5397000.0,682000.0,HMY.AX
retainedEarnings,-56400000.0,-29366000.0,-13994000.0,-28737000.0,HMY.AX
otherLiab,497000.0,1275000.0,1213000.0,1237000.0,HMY.AX
treasuryStock,695000.0,1565000.0,2194000.0,1361000.0,HMY.AX
otherAssets,11490000.0,9548000.0,5165000.0,,HMY.AX
cash,76464000.0,34779000.0,6210000.0,7658000.0,HMY.AX
totalCurrentLiabilities,21027000.0,16715000.0,43001000.0,3050000.0,HMY.AX
deferredLongTermAssetCharges,11490000.0,9548000.0,5165000.0,,HMY.AX
otherStockholderEquity,695000.0,1565000.0,2194000.0,1361000.0,HMY.AX
propertyPlantEquipment,642000.0,1448000.0,147000.0,172000.0,HMY.AX
totalCurrentAssets,373179000.0,169224000.0,60186000.0,9497000.0,HMY.AX
netTangibleAssets,72239000.0,28885000.0,21284000.0,5382000.0,HMY.AX
netReceivables,296061000.0,134118000.0,48579000.0,1157000.0,HMY.AX
longTermDebt,291541000.0,132630000.0,,,HMY.AX
accountsPayable,954000.0,531000.0,1160000.0,610000.0,HMY.AX
