Breakdown,Value,ticker
zip,6000,HNR.AX
sector,Basic Materials,HNR.AX
longBusinessSummary,"Hannans Limited engages in the mineral exploration and project development activities in Australia. The company explores for cobalt, gold, nickel, and lithium deposits. It primarily holds a 100% interest in the Forrestania Nickel project south of Southern Cross and east of Hyden in the Goldfields region of Western Australia; Moogie Gold and Nickel-Copper project located in the Gascoyne Province, Western Australia; and Fraser Range Nickel-Copper project located east of Norseman, Western Australia. The company was formerly known as Hannans Reward Limited and changed its name to Hannans Limited in May 2016. Hannans Limited was founded in 2002 and is based in Perth, Australia.",HNR.AX
city,Perth,HNR.AX
phone,61 8 9324 3388,HNR.AX
state,WA,HNR.AX
compensationAsOfEpochDate,1640908800,HNR.AX
country,Australia,HNR.AX
website,https://www.hannans.com,HNR.AX
maxAge,86400,HNR.AX
address1,216 St Georges Terrace,HNR.AX
industry,Other Industrial Metals & Mining,HNR.AX
address2,Level 11,HNR.AX
