Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
investments,-1137000.0,-559000.0,-47414.0,-47414.0,HRL.AX
changeToLiabilities,15000.0,1000000.0,450157.0,-55849.0,HRL.AX
totalCashflowsFromInvestingActivities,-3677000.0,-2499000.0,-1096984.0,-13879974.0,HRL.AX
netBorrowings,-3173000.0,-1937000.0,1843185.0,-897288.0,HRL.AX
totalCashFromFinancingActivities,-3108000.0,-1937000.0,1843185.0,14261970.0,HRL.AX
changeToOperatingActivities,373000.0,116000.0,-2432044.0,3051316.0,HRL.AX
netIncome,1312000.0,-2495000.0,-7126758.0,-1503797.0,HRL.AX
changeInCash,-1269000.0,1823000.0,-4361549.0,4664577.0,HRL.AX
effectOfExchangeRate,-6000.0,-54000.0,31371.0,-126581.0,HRL.AX
totalCashFromOperatingActivities,5522000.0,6313000.0,-5139121.0,4409162.0,HRL.AX
depreciation,3596000.0,5171000.0,4809768.0,3071028.0,HRL.AX
otherCashflowsFromInvestingActivities,24000.0,1000.0,-24584.0,-183175.0,HRL.AX
changeToInventory,-220000.0,215000.0,-132058.0,-558101.0,HRL.AX
changeToAccountReceivables,-728000.0,896000.0,-684636.0,231932.0,HRL.AX
otherCashflowsFromFinancingActivities,65000.0,65000.0,65000.0,-843245.0,HRL.AX
changeToNetincome,688000.0,967000.0,512126.0,-124461.0,HRL.AX
capitalExpenditures,-2091000.0,-1734000.0,-874758.0,-1517395.0,HRL.AX
issuanceOfStock,,,,16002503.0,HRL.AX
