Breakdown,Value,ticker
zip,2000,HRR.AX
sector,Basic Materials,HRR.AX
longBusinessSummary,"Heron Resources Limited engages in the exploration and development of mineral deposits in Australia. The company explores for zinc, copper, lead, nickel, cobalt, and gold deposits. It primarily focuses on the 100% owned Woodlawn zinc-copper project located to the southwest of Sydney, New South Wales. The company was incorporated in 1995 and is headquartered in Sydney, Australia.",HRR.AX
city,Sydney,HRR.AX
phone,61 2 9119 8111,HRR.AX
state,NSW,HRR.AX
compensationAsOfEpochDate,1609372800,HRR.AX
country,Australia,HRR.AX
website,https://www.heronresources.com.au,HRR.AX
maxAge,86400,HRR.AX
address1,309 Kent Street,HRR.AX
industry,Other Industrial Metals & Mining,HRR.AX
address2,"Suite 2, Level 8",HRR.AX
