Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
researchDevelopment,,,,,HSC.AX
effectOfAccountingCharges,,,,,HSC.AX
incomeBeforeTax,-2366476,-4412504,-4501024,-417493,HSC.AX
minorityInterest,,,,,HSC.AX
netIncome,-2366476,-4412504,-4501024,-417493,HSC.AX
sellingGeneralAdministrative,234988,1251049,1072074,253621,HSC.AX
grossProfit,-277675,-1896411,-2059747,-56549,HSC.AX
ebit,-1515698,-4330582,-3992953,-417493,HSC.AX
operatingIncome,-1515698,-4330582,-3992953,-417493,HSC.AX
otherOperatingExpenses,405962,532838,600743,88398,HSC.AX
interestExpense,-36358,-48413,-5617,-5617,HSC.AX
extraordinaryItems,,,,,HSC.AX
nonRecurring,,,,,HSC.AX
otherItems,,,,,HSC.AX
incomeTaxExpense,0,0,0,0,HSC.AX
totalRevenue,3107445,588453,161721,33202,HSC.AX
totalOperatingExpenses,4623143,4919035,4154674,450695,HSC.AX
costOfRevenue,3385120,2484864,2221468,89751,HSC.AX
totalOtherIncomeExpenseNet,-850778,-81922,-508071,0,HSC.AX
discontinuedOperations,,,,,HSC.AX
netIncomeFromContinuingOps,-2366476,-4412504,-4501024,-417493,HSC.AX
netIncomeApplicableToCommonShares,-2366476,-4412504,-4501024,-417493,HSC.AX
