Breakdown,Value,ticker
zip,6102,HTG.AX
sector,Technology,HTG.AX
longBusinessSummary,"Harvest Technology Group Ltd provides offshore solutions and engineering services for subsea intervention projects and asset integrity risk mitigation primarily in Australia and the United States. The company provides technology based subsea and asset integrity risk mitigation solutions for the energy, renewable, and resource sectors; and data transfer, encryption, and compression services to clients operating in offshore and remote environments. Its products include Infinity Data that enables remote operations with network optimized livestreaming; Infinity Wearwolf, a software that enables point-to-point video and voice communications for simultaneous review, live analysis, and collaboration; Infinity Nodecom, which provides a direct channel for two-way communication; Opsivity that assists remote technicians with real-time field support; Infinity Nodestream Mini/Infinity Nodestream Quad, which allows video feeds to be distributed point-to-point from anywhere in the world through satellite; and Infinity AVR2, a secure point-to-cloud video distribution solution. In addition, the company offers Infinity Nodester, an application that optimizes and allocates bandwidth with a tap; and Infinity Remote Inspection System, which allows for the removal of personnel from remote sites and place them in command centers, offices, homes, or other places by offering live streaming of video, audio, and other data. The company was formerly known as Smart Marine Systems Limited and changed its name to Harvest Technology Group Ltd in April 2020. Harvest Technology Group Ltd was incorporated in 2011 and is based in Bentley, Australia.",HTG.AX
city,Bentley,HTG.AX
phone,61 8 6370 6370,HTG.AX
state,WA,HTG.AX
compensationAsOfEpochDate,1640908800,HTG.AX
country,Australia,HTG.AX
website,https://harvest.technology,HTG.AX
maxAge,86400,HTG.AX
address1,7 Turner Avenue,HTG.AX
industry,Software—Application,HTG.AX
address2,Technology Park,HTG.AX
