Breakdown,Value,ticker
zip,6008,ICG.AX
sector,Basic Materials,ICG.AX
longBusinessSummary,"Inca Minerals Limited, a junior resource company, engages in the acquisition, exploration, evaluation, and development of mineral properties. The company explores for gold, silver, copper, zinc, and lead deposits. Its flagship project is Riqueza project located in Peru. The company is based in Subiaco, Australia.",ICG.AX
city,Subiaco,ICG.AX
phone,61 8 6145 0300,ICG.AX
state,WA,ICG.AX
compensationAsOfEpochDate,1640908800,ICG.AX
country,Australia,ICG.AX
website,https://www.incaminerals.com.au,ICG.AX
maxAge,86400,ICG.AX
address1,16 Nicholson Road,ICG.AX
industry,Other Industrial Metals & Mining,ICG.AX
address2,Suite 1,ICG.AX
