Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,-291311.0,464223.0,-257451.0,-61595.0,IHL.AX
totalCashflowsFromInvestingActivities,29277.0,13000.0,-24442.0,-47600.0,IHL.AX
totalCashFromFinancingActivities,12400730.0,7404392.0,2049801.0,2620115.0,IHL.AX
changeToOperatingActivities,-100989.0,-27293.0,30781.0,30781.0,IHL.AX
issuanceOfStock,12498706.0,7469392.0,2184801.0,3009949.0,IHL.AX
netIncome,-11372799.0,-4697636.0,-2718399.0,-2947991.0,IHL.AX
changeInCash,5520227.0,3510058.0,-135074.0,-278505.0,IHL.AX
totalCashFromOperatingActivities,-6909780.0,-3907334.0,-2160433.0,-2851020.0,IHL.AX
changeToInventory,183159.0,-30355.0,70268.0,-3939.0,IHL.AX
changeToAccountReceivables,214903.0,-315484.0,-43681.0,39071.0,IHL.AX
otherCashflowsFromFinancingActivities,-97976.0,-97976.0,-97976.0,-189834.0,IHL.AX
changeToNetincome,4457257.0,699211.0,758049.0,68806.0,IHL.AX
netBorrowings,,-65000.0,-135000.0,-200000.0,IHL.AX
capitalExpenditures,,,-24442.0,-47600.0,IHL.AX
depreciation,,,,54628.0,IHL.AX
