Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2018-06-30 00:00:00,ticker
changeToLiabilities,25832,322024,99472,142391,IHR.AX
totalCashflowsFromInvestingActivities,-1795980,-1129658,-1750664,-1416544,IHR.AX
netBorrowings,-404308,-254247,-38747,-38747,IHR.AX
totalCashFromFinancingActivities,6202895,3976053,2171864,7973446,IHR.AX
changeToOperatingActivities,875751,338562,163221,143410,IHR.AX
issuanceOfStock,6678959,4338974,2337499,8570624,IHR.AX
netIncome,-7633419,-4820837,-5432113,-4679807,IHR.AX
changeInCash,1311876,833671,-2756454,3701818,IHR.AX
effectOfExchangeRate,885,-152,-152,-152,IHR.AX
totalCashFromOperatingActivities,-3095924,-2012572,-3177654,-2855084,IHR.AX
depreciation,442459,461078,276045,48737,IHR.AX
otherCashflowsFromInvestingActivities,664814,706469,402998,378652,IHR.AX
changeToAccountReceivables,-197369,-10588,14603,-373663,IHR.AX
otherCashflowsFromFinancingActivities,-71756,-108674,-126888,-597178,IHR.AX
changeToNetincome,1900286,285986,393861,818166,IHR.AX
capitalExpenditures,-24046,-6288,-11018,-70208,IHR.AX
