Breakdown,Value,ticker
zip,3130,IMC.AX
sector,Healthcare,IMC.AX
longBusinessSummary,"Immuron Limited, a biopharmaceutical company, researches, develops, and commercializes polyclonal antibodies in Australia, the United States, and internationally. The company operates through two segments, Research and Development, and Hyperimmune Products. It markets Travelan, an over-the-counter medicine to reduce the risk of travelers' diarrhea and reduce the symptoms of minor gastro-intestinal disorders, as well as for dietary supplement for digestive tract protection; and Protectyn, an immune supplement to maintain a healthy digestive function and liver. The company is also developing Travelan (IMM-124E) that is in Phase III clinical trials to reduce the risk of contracting travelers' diarrhea, as well as acts as an anti-viral activity against SARS-CoV-2; and IMM-529, which is in clinical development stage focuses on treating patients suffering from recurring clostridium difficile infection. It has a research agreement with Naval Medical Research Center to develop and clinically evaluate a therapeutic targeting Campylobacter and ETEC infections; and a collaboration agreement with the Walter Reed Army Institute of Research to develop an oral therapeutic for shigellosis. Immuron Limited was incorporated in 1994 and is based in Carlton, Australia.",IMC.AX
city,Carlton,IMC.AX
phone,61 3 9824 5254,IMC.AX
state,VIC,IMC.AX
compensationAsOfEpochDate,1640908800,IMC.AX
country,Australia,IMC.AX
website,https://www.immuron.com.au,IMC.AX
maxAge,86400,IMC.AX
address1,25-37 Chapman Street,IMC.AX
fax,61 3 9822 7735,IMC.AX
industry,Biotechnology,IMC.AX
address2,Unit 10 Blackburn North,IMC.AX
