Breakdown,2020-12-31 00:00:00,2019-12-31 00:00:00,2018-12-31 00:00:00,2017-12-31 00:00:00,ticker
capitalSurplus,81675671.0,47449853.0,20817689.0,20369729.0,IMR.AX
totalLiab,4753366.0,3488112.0,11122953.0,6453452.0,IMR.AX
totalStockholderEquity,28816050.0,7033417.0,-5894011.0,-4108061.0,IMR.AX
otherCurrentLiab,40202.0,14557.0,,465759.0,IMR.AX
totalAssets,33569416.0,10521529.0,5228942.0,2345391.0,IMR.AX
commonStock,12556.0,9268.0,420028.0,419828.0,IMR.AX
retainedEarnings,-52872177.0,-40425704.0,-27131728.0,-24897618.0,IMR.AX
otherLiab,617201.0,592853.0,1099000.0,3291124.0,IMR.AX
otherAssets,754733.0,969244.0,1027915.0,23733.0,IMR.AX
cash,25139812.0,5048893.0,1588348.0,1769080.0,IMR.AX
totalCurrentLiabilities,2299232.0,1424320.0,427344.0,834324.0,IMR.AX
propertyPlantEquipment,3890086.0,2738695.0,2115102.0,145901.0,IMR.AX
totalCurrentAssets,28924597.0,6813590.0,2085925.0,2175757.0,IMR.AX
netTangibleAssets,28816050.0,7033417.0,-5894011.0,-4108061.0,IMR.AX
netReceivables,223237.0,256294.0,55856.0,,IMR.AX
inventory,3069920.0,1220616.0,374316.0,147921.0,IMR.AX
accountsPayable,529132.0,540980.0,274314.0,213879.0,IMR.AX
longTermDebt,,,9596609.0,2325000.0,IMR.AX
