Breakdown,2021-06-30 00:00:00,2020-06-30 00:00:00,ticker
researchDevelopment,,,IPG.AX
effectOfAccountingCharges,,,IPG.AX
incomeBeforeTax,9042000,5350000,IPG.AX
minorityInterest,,,IPG.AX
netIncome,6508000,3975000,IPG.AX
sellingGeneralAdministrative,37258000,28468000,IPG.AX
grossProfit,46255000,33622000,IPG.AX
ebit,9165000,5315000,IPG.AX
operatingIncome,9165000,5315000,IPG.AX
otherOperatingExpenses,-168000,-161000,IPG.AX
interestExpense,,,IPG.AX
extraordinaryItems,,,IPG.AX
nonRecurring,,,IPG.AX
otherItems,,,IPG.AX
incomeTaxExpense,2534000,1375000,IPG.AX
totalRevenue,118095000,87530000,IPG.AX
totalOperatingExpenses,108930000,82215000,IPG.AX
costOfRevenue,71840000,53908000,IPG.AX
totalOtherIncomeExpenseNet,-123000,35000,IPG.AX
discontinuedOperations,,,IPG.AX
netIncomeFromContinuingOps,6508000,3975000,IPG.AX
netIncomeApplicableToCommonShares,6508000,3975000,IPG.AX
