Breakdown,Value,ticker
zip,2766,IVT.AX
sector,Consumer Cyclical,IVT.AX
fullTimeEmployees,60,IVT.AX
longBusinessSummary,"Inventis Limited designs, manufactures, markets, and sells ergonomic office furniture, electronic control systems, and computing products in Australia. It operates through Furniture Division and Technology Division segments. The Furniture division segment offers commercial furniture, which includes office chairs, tables, lounges, and workstations under the damba, vibe, GEORGY, winya, PLUTO, WORKSTATIONS.COM.AU, Bassett, and Bevisco brand names. The Technology Division segment provides custom control and market ready electronic systems, mobile computing solutions, and emergency vehicle control systems under the PNE, Safezone, impart, and EAS brand names. It also provides computers and computer-based solutions for defense, general purpose, and field-based applications. Inventis Limited was incorporated in 1998 and is based in Eastern Creek, Australia.",IVT.AX
city,Eastern Creek,IVT.AX
phone,61 2 8808 0400,IVT.AX
state,NSW,IVT.AX
compensationAsOfEpochDate,1640908800,IVT.AX
country,Australia,IVT.AX
website,https://www.inventis.com.au,IVT.AX
maxAge,86400,IVT.AX
address1,2 Southridge Street,IVT.AX
fax,61 2 9631 2488,IVT.AX
industry,"Furnishings, Fixtures & Appliances",IVT.AX
address2,Unit 4,IVT.AX
